ObjectName,"ObjectType (from static file, if available)",StartFrame (first frame where object is relevant),EndFrame (last frame where object is relevant),"StartPosition (x,y,z at StartFrame)","EndPosition (x,y,z at EndFrame)",AvgSpeed (avg world units per frame),VisibilityRatio (fraction of frames visible),SizeChange (grow/shrink/stable),RelativeSize (approx. size compared to average scene object),PathSummary (detailed 3D path narrative),MovementSummary (short overall description)
zoneDESERT/SandSea/Pillars/cliffDesert19 (2),Mesh,8,12,"[574.2,988.7,355.5]","[-270.5,988.7,43.8]",450.1874554005254,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 900.37 units right-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 900.37 units right-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (12),Mesh,8,12,"[-507.75,949.1,273.4]","[344.6,949.1,118.25]",433.17780558334243,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 866.36 units left-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 866.36 units left-backward.,Very large object moves quickly along a complex 3D path.
zoneDESERT/SandSea/Pillars/cliffDesert19 (6),Mesh,8,12,"[280.3,993.0,974.2]","[348.2,993.0,337.7]",320.05572171107957,1.0,stable,huge,Starts in the air. Frame 8→9: quickly moves 640.11 units left-backward. Frame 9→10: hovers with negligible movement. Frame 10→11: hovers with negligible movement. Frame 11→12: quickly moves 640.11 units left-backward.,Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnBluffQuar01 (1)/mountaintop,Mesh,8,12,"[-236.612,23.805,-1085.647]","[-92.69,39.481,-830.408]",293.4386242146728,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 15.68 units, moves 293.02 units left-forward. Frame 9→10: quickly descends 15.68 units, moves 293.02 units left-forward. Frame 10→11: quickly descends 15.68 units, moves 293.02 units left-forward. Frame 11→12: quickly descends 15.68 units, moves 293.02 units left-forward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnBluffQuar01 (2)/mountaintop,Mesh,8,12,"[-111.5,40.0,-812.0]","[-284.5,37.461,-1014.0]",265.9688826178732,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 2.54 units, moves 265.96 units right-backward. Frame 9→10: quickly rises 2.54 units, moves 265.96 units right-backward. Frame 10→11: quickly rises 2.54 units, moves 265.96 units right-backward. Frame 11→12: quickly rises 2.54 units, moves 265.96 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneMOCHI/cellVALLEY_MochiEstate/Sector/Mountains/mtnSpireQuar03 (6)/mountaintop,Mesh,8,12,"[346.8,52.111,-950.42]","[198.38,46.082,-735.8]",261.0107079048674,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 6.03 units, moves 260.94 units right-forward. Frame 9→10: quickly rises 6.03 units, moves 260.94 units right-forward. Frame 10→11: quickly rises 6.03 units, moves 260.94 units right-forward. Frame 11→12: quickly rises 6.03 units, moves 260.94 units right-forward.",Very large object moves quickly along a complex 3D path.
cratePinkParty(Clone),PhysicsBody,9,12,"[-189.139,7.48,765.642]","[116.75,17.406,352.01]",1078.8570384324728,1.0,stable,tiny,"Starts in the air. Frame 9→10: quickly descends 9.26 units, moves 1148.13 units right-forward. Takes off from near the ground. Frame 10→11: quickly rises 25.42 units, moves 1054.76 units right-backward. Frame 11→12: quickly rises 7.60 units, moves 1033.32 units right-backward.",Small moves quickly along a complex 3D path.
cratePinkParty(Clone)/partyBoxRibbon,Mesh,9,12,"[-189.139,7.48,765.642]","[116.75,17.406,352.01]",1078.8570384324728,1.0,stable,tiny,"Starts in the air. Frame 9→10: quickly descends 9.26 units, moves 1148.13 units right-forward. Takes off from near the ground. Frame 10→11: quickly rises 25.42 units, moves 1054.76 units right-backward. Frame 11→12: quickly rises 7.60 units, moves 1033.32 units right-backward.",Small moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Mountains/mtnBluffQuar01/mountaintop,Mesh,8,12,"[-67.75,40.0,-849.918]","[-280.74,24.75,-908.52]",221.43056926269236,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 15.25 units, moves 220.90 units right-backward. Frame 9→10: quickly rises 15.25 units, moves 220.90 units right-backward. Frame 10→11: quickly rises 15.25 units, moves 220.90 units right-backward. Frame 11→12: quickly rises 15.25 units, moves 220.90 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Cliffs/valley_rockPillar01 (2),Mesh,8,12,"[-130.68,18.1,-839.51]","[-214.82,8.761,-1042.248]",219.70310231082314,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 9.34 units, moves 219.50 units right-backward. Frame 9→10: quickly rises 9.34 units, moves 219.50 units right-backward. Frame 10→11: quickly rises 9.34 units, moves 219.50 units right-backward. Frame 11→12: quickly rises 9.34 units, moves 219.50 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Cliffs/valley_rockPillar01 (1),Mesh,8,12,"[-148.98,-0.797,-834.82]","[-229.06,11.221,-1019.288]",201.45888351720802,1.0,stable,huge,"Starts near the ground. Frame 8→9: quickly descends 12.02 units, moves 201.10 units right-backward. Frame 9→10: quickly descends 12.02 units, moves 201.10 units right-backward. Frame 10→11: quickly descends 12.02 units, moves 201.10 units right-backward. Frame 11→12: quickly descends 12.02 units, moves 201.10 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneQUARRY/cellQuarry_AshIsle/Sector/Mountains/mtnBluffQuar02 (2)/mountaintop,Mesh,8,12,"[422.1,43.234,744.2]","[285.5,-6.6,613.8]",195.31294774284686,1.0,stable,huge,"Starts in the air. Takes off from near the ground. Frame 8→9: quickly rises 49.83 units, moves 188.85 units right-backward. Frame 9→10: quickly rises 49.83 units, moves 188.85 units right-backward. Frame 10→11: quickly rises 49.83 units, moves 188.85 units right-backward. Frame 11→12: quickly rises 49.83 units, moves 188.85 units right-backward. Lands back near the ground.",Very large object descends along a 3D path and comes down near the ground.
zoneMOSS/cellMoss_Archipelago/Sector/Solid Filler/areaCrag02/areaCragChunk02,Mesh,8,12,"[-423.085,3.13,904.397]","[-363.456,6.17,723.129]",190.84796845919007,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 3.04 units, moves 190.82 units left-backward. Frame 9→10: quickly descends 3.04 units, moves 190.82 units left-backward. Frame 10→11: quickly descends 3.04 units, moves 190.82 units left-backward. Frame 11→12: quickly descends 3.04 units, moves 190.82 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneMOSS/cellMoss_Archipelago/Sector/Solid Filler/areaCrag02/areaCragChunk03,Mesh,8,12,"[-420.464,2.344,904.101]","[-365.978,5.384,723.899]",188.28363338325505,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 3.04 units, moves 188.26 units left-backward. Frame 9→10: quickly descends 3.04 units, moves 188.26 units left-backward. Frame 10→11: quickly descends 3.04 units, moves 188.26 units left-backward. Frame 11→12: quickly descends 3.04 units, moves 188.26 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneMOSS/cellMoss_Archipelago/Sector/Solid Filler/areaCrag02/areaCragChunk01,Mesh,8,12,"[-421.648,4.024,903.585]","[-364.72,7.064,724.19]",188.2355035826132,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 3.04 units, moves 188.21 units left-backward. Frame 9→10: quickly descends 3.04 units, moves 188.21 units left-backward. Frame 10→11: quickly descends 3.04 units, moves 188.21 units left-backward. Frame 11→12: quickly descends 3.04 units, moves 188.21 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneMOSS/cellMoss_Archipelago/Sector/Solid Filler/areaCrag02/areaCragChunk05,Mesh,8,12,"[-423.398,2.362,902.545]","[-362.809,5.402,724.892]",187.7254828998982,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 3.04 units, moves 187.70 units left-backward. Frame 9→10: quickly descends 3.04 units, moves 187.70 units left-backward. Frame 10→11: quickly descends 3.04 units, moves 187.70 units left-backward. Frame 11→12: quickly descends 3.04 units, moves 187.70 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneMOSS/cellMoss_Archipelago/Sector/Build Sites/siteGadget/siteBase/Light Column,Mesh,8,12,"[-379.65,-4.34,703.15]","[-345.873,-6.971,886.53]",186.4833297911639,1.0,stable,huge,"Starts near the ground. Takes off from near the ground. Frame 8→9: quickly rises 2.63 units, moves 186.46 units left-forward. Frame 9→10: quickly rises 2.63 units, moves 186.46 units left-forward. Frame 10→11: quickly rises 2.63 units, moves 186.46 units left-forward. Frame 11→12: quickly rises 2.63 units, moves 186.46 units left-forward. Lands back near the ground.",Very large object descends along a 3D path and comes down near the ground.
zoneMOSS/cellMoss_Archipelago/Sector/Solid Filler/areaCrag02/areaCragChunk04,Mesh,8,12,"[-421.15,1.828,902.438]","[-365.0,4.868,725.408]",185.74629202220967,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 3.04 units, moves 185.72 units left-backward. Frame 9→10: quickly descends 3.04 units, moves 185.72 units left-backward. Frame 10→11: quickly descends 3.04 units, moves 185.72 units left-backward. Frame 11→12: quickly descends 3.04 units, moves 185.72 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Flora/valley_tree03 (1)/LOD2,Mesh,8,12,"[-223.667,16.93,-863.849]","[-119.351,18.44,-1015.456]",184.0347532532918,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 9→10: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 10→11: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 11→12: quickly descends 1.51 units, moves 184.03 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Flora/valley_tree03 (1)/LOD1,Mesh,8,12,"[-223.667,16.93,-863.849]","[-119.351,18.44,-1015.456]",184.0347532532918,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 9→10: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 10→11: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 11→12: quickly descends 1.51 units, moves 184.03 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Flora/valley_tree03 (1),Mesh,8,12,"[-223.667,16.93,-863.849]","[-119.351,18.44,-1015.456]",184.0347532532918,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 9→10: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 10→11: quickly descends 1.51 units, moves 184.03 units left-backward. Frame 11→12: quickly descends 1.51 units, moves 184.03 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Cliffs/valley_rockLip01,Mesh,8,12,"[-279.46,18.63,-852.24]","[-228.147,6.36,-1019.964]",175.82638324494994,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 12.27 units, moves 175.40 units left-backward. Frame 9→10: quickly rises 12.27 units, moves 175.40 units left-backward. Frame 10→11: quickly rises 12.27 units, moves 175.40 units left-backward. Frame 11→12: quickly rises 12.27 units, moves 175.40 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Flora/valley_tree02 (1)/LOD1,Mesh,8,12,"[-220.16,30.35,-812.19]","[-193.11,6.59,-984.27]",175.80604796195144,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 23.76 units, moves 174.19 units left-backward. Frame 9→10: quickly rises 23.76 units, moves 174.19 units left-backward. Frame 10→11: quickly rises 23.76 units, moves 174.19 units left-backward. Frame 11→12: quickly rises 23.76 units, moves 174.19 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneRUINSTransition/cellReef_RuinsGardenOfTranquility/Sector/Mountains/mtnSpireMoss04 (2)/mountaintop,Mesh,8,12,"[-51.1,47.3,491.1]","[112.811,41.0,430.1]",175.0071596278278,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 6.30 units, moves 174.89 units left-backward. Frame 9→10: quickly rises 6.30 units, moves 174.89 units left-backward. Frame 10→11: quickly rises 6.30 units, moves 174.89 units left-backward. Frame 11→12: quickly rises 6.30 units, moves 174.89 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneDESERT/cellDesert_ScorchedPlainsNorthEast/Sector/Cliffs/glassShard03,Mesh,8,12,"[74.195,1030.937,569.59]","[195.09,1091.79,679.35]",174.25827450654964,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 60.85 units, moves 163.29 units left-forward. Frame 9→10: quickly descends 60.85 units, moves 163.29 units left-forward. Frame 10→11: quickly descends 60.85 units, moves 163.29 units left-forward. Frame 11→12: quickly descends 60.85 units, moves 163.29 units left-forward.",Very large object moves quickly along a complex 3D path.
zoneQUARRY/cellQuarry_AshIsle/Sector/Solid Filler/rockCrag02,Mesh,8,12,"[500.61,6.208,729.47]","[358.76,-1.836,643.29]",166.17196164214954,1.0,stable,huge,"Starts in the air. Takes off from near the ground. Frame 8→9: quickly rises 8.04 units, moves 165.98 units right-backward. Frame 9→10: quickly rises 8.04 units, moves 165.98 units right-backward. Frame 10→11: quickly rises 8.04 units, moves 165.98 units right-backward. Frame 11→12: quickly rises 8.04 units, moves 165.98 units right-backward. Lands back near the ground.",Very large object descends along a 3D path and comes down near the ground.
zoneVALLEY/cellValley_RaceTrack2/Sector/Solid Filler/valley_mtnBase04,Mesh,8,12,"[-273.42,17.93,-856.3]","[-142.944,9.18,-958.61]",166.03579486363782,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 8.75 units, moves 165.81 units left-backward. Frame 9→10: quickly rises 8.75 units, moves 165.81 units left-backward. Frame 10→11: quickly rises 8.75 units, moves 165.81 units left-backward. Frame 11→12: quickly rises 8.75 units, moves 165.81 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Main Nav/areaRamp01,Mesh,8,12,"[-253.55,14.861,-908.299]","[-94.74,17.721,-860.418]",165.89570778353487,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 2.86 units, moves 165.87 units left-forward. Frame 9→10: quickly descends 2.86 units, moves 165.87 units left-forward. Frame 10→11: quickly descends 2.86 units, moves 165.87 units left-forward. Frame 11→12: quickly descends 2.86 units, moves 165.87 units left-forward.",Very large object moves quickly along a complex 3D path.
zoneDESERT/cellDesert_RuinsEnd/Sector/Solid Filler/ruinDesertPlanter01,Mesh,8,12,"[-121.76,1035.95,38.2]","[35.4,1002.415,63.13]",162.62031461351933,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 33.54 units, moves 159.13 units left-forward. Frame 9→10: quickly rises 33.54 units, moves 159.13 units left-forward. Frame 10→11: quickly rises 33.54 units, moves 159.13 units left-forward. Frame 11→12: quickly rises 33.54 units, moves 159.13 units left-forward.",Very large object moves quickly along a complex 3D path.
zoneSEA/cellSea_Vault001/Sector/Flora/mossDrape05 (1)/drapeMoss02,Mesh,8,12,"[817.67,32.85,106.57]","[972.97,12.73,68.56]",161.14485564236924,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 20.12 units, moves 159.88 units left-backward. Frame 9→10: quickly rises 20.12 units, moves 159.88 units left-backward. Frame 10→11: quickly rises 20.12 units, moves 159.88 units left-backward. Frame 11→12: quickly rises 20.12 units, moves 159.88 units left-backward.",Very large object moves quickly along a complex 3D path.
zoneMOSS/cellMoss_Archipelago/Sector/Constructs/woodBridgeBroke02,Mesh,8,12,"[-378.74,-3.49,730.8]","[-400.96,-3.95,890.14]",160.8824900354293,1.0,stable,huge,"Starts near the ground. Frame 8→9: quickly rises 0.46 units, moves 160.88 units right-forward. Frame 9→10: quickly rises 0.46 units, moves 160.88 units right-forward. Frame 10→11: quickly rises 0.46 units, moves 160.88 units right-forward. Frame 11→12: quickly rises 0.46 units, moves 160.88 units right-forward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Solid Filler/valley_rockLip02 (2),Mesh,8,12,"[-710.243,16.262,-928.21]","[-689.22,23.94,-768.92]",160.85466208040108,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 7.68 units, moves 160.67 units left-forward. Frame 9→10: quickly descends 7.68 units, moves 160.67 units left-forward. Frame 10→11: quickly descends 7.68 units, moves 160.67 units left-forward. Frame 11→12: quickly descends 7.68 units, moves 160.67 units left-forward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Mountains/mtnBluffQuar02/mountaintop,Mesh,8,12,"[-683.08,32.72,-971.71]","[-703.05,30.241,-814.479]",158.51351267951887,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 2.48 units, moves 158.49 units right-forward. Frame 9→10: quickly rises 2.48 units, moves 158.49 units right-forward. Frame 10→11: quickly rises 2.48 units, moves 158.49 units right-forward. Frame 11→12: quickly rises 2.48 units, moves 158.49 units right-forward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Solid Filler/valley_rockLip02 (1),Mesh,8,12,"[-628.88,18.45,-775.3]","[-686.16,12.62,-922.75]",158.2924186434714,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 5.83 units, moves 158.19 units right-backward. Frame 9→10: quickly rises 5.83 units, moves 158.19 units right-backward. Frame 10→11: quickly rises 5.83 units, moves 158.19 units right-backward. Frame 11→12: quickly rises 5.83 units, moves 158.19 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Solid Filler/valley_ramp04,Mesh,8,12,"[-118.32,8.76,-845.738]","[-243.904,10.43,-941.51]",157.94431278143568,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 1.67 units, moves 157.94 units right-backward. Frame 9→10: quickly descends 1.67 units, moves 157.94 units right-backward. Frame 10→11: quickly descends 1.67 units, moves 157.94 units right-backward. Frame 11→12: quickly descends 1.67 units, moves 157.94 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Main Nav/valley_platform01 (1),Mesh,8,12,"[-225.25,24.317,-1006.06]","[-241.4,16.651,-849.548]",157.52966768199565,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 7.67 units, moves 157.34 units right-forward. Frame 9→10: quickly rises 7.67 units, moves 157.34 units right-forward. Frame 10→11: quickly rises 7.67 units, moves 157.34 units right-forward. Frame 11→12: quickly rises 7.67 units, moves 157.34 units right-forward.",Very large object moves quickly along a complex 3D path.
zoneREEF/cellReef_RingIsland/Sector/Rocks/rockCrag01 (29),Mesh,8,12,"[-634.117,-8.67,-236.752]","[-530.087,-4.74,-119.222]",157.00632694257897,1.0,stable,huge,"Starts near the ground. Frame 8→9: quickly descends 3.93 units, moves 156.96 units left-forward. Frame 9→10: quickly descends 3.93 units, moves 156.96 units left-forward. Frame 10→11: quickly descends 3.93 units, moves 156.96 units left-forward. Frame 11→12: quickly descends 3.93 units, moves 156.96 units left-forward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack2/Sector/Grass/grassValleyColony02 (2)/grassThinColony02_LOD2,Mesh,8,12,"[-151.585,19.051,-1036.94]","[-247.12,16.199,-859.9]",201.1920270015689,1.0,stable,large,"Starts in the air. Frame 8→9: quickly rises 2.85 units, moves 201.17 units right-forward. Frame 9→10: quickly rises 2.85 units, moves 201.17 units right-forward. Frame 10→11: quickly rises 2.85 units, moves 201.17 units right-forward. Frame 11→12: quickly rises 2.85 units, moves 201.17 units right-forward.",Large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Solid Filler/valley_rockLip02,Mesh,8,12,"[-664.5,23.571,-764.949]","[-673.66,11.88,-920.68]",156.43762156847055,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly rises 11.69 units, moves 156.00 units right-backward. Frame 9→10: quickly rises 11.69 units, moves 156.00 units right-backward. Frame 10→11: quickly rises 11.69 units, moves 156.00 units right-backward. Frame 11→12: quickly rises 11.69 units, moves 156.00 units right-backward.",Very large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Grass/grassValleyColony02 (3)/grassThinColony02_LOD1,Mesh,8,12,"[-607.851,19.641,-909.256]","[-771.692,21.388,-795.995]",199.1857911875242,1.0,stable,large,"Starts in the air. Frame 8→9: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 9→10: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 10→11: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 11→12: quickly descends 1.75 units, moves 199.18 units right-forward.",Large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Grass/grassValleyColony02 (3)/grassThinColony02_LOD0,Mesh,8,12,"[-607.851,19.641,-909.256]","[-771.692,21.388,-795.995]",199.1857911875242,1.0,stable,large,"Starts in the air. Frame 8→9: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 9→10: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 10→11: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 11→12: quickly descends 1.75 units, moves 199.18 units right-forward.",Large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Grass/grassValleyColony02 (3)/grassThinColony02_LOD3,Mesh,8,12,"[-607.851,19.641,-909.256]","[-771.692,21.388,-795.995]",199.1857911875242,1.0,stable,large,"Starts in the air. Frame 8→9: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 9→10: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 10→11: quickly descends 1.75 units, moves 199.18 units right-forward. Frame 11→12: quickly descends 1.75 units, moves 199.18 units right-forward.",Large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Grass/grassValleyColony02 (3)/grassThinColony02_LOD2,Mesh,8,12,"[-771.692,21.388,-795.995]","[-607.851,19.641,-909.256]",199.1857911875242,1.0,stable,large,"Starts in the air. Frame 8→9: quickly rises 1.75 units, moves 199.18 units left-backward. Frame 9→10: quickly rises 1.75 units, moves 199.18 units left-backward. Frame 10→11: quickly rises 1.75 units, moves 199.18 units left-backward. Frame 11→12: quickly rises 1.75 units, moves 199.18 units left-backward.",Large object moves quickly along a complex 3D path.
zoneVALLEY/cellValley_RaceTrack1/Sector/Solid Filler/valley_rockLip01,Mesh,8,12,"[-751.03,10.78,-944.8]","[-719.976,21.31,-794.014]",154.31023819565564,1.0,stable,huge,"Starts in the air. Frame 8→9: quickly descends 10.53 units, moves 153.95 units left-forward. Frame 9→10: quickly descends 10.53 units, moves 153.95 units left-forward. Frame 10→11: quickly descends 10.53 units, moves 153.95 units left-forward. Frame 11→12: quickly descends 10.53 units, moves 153.95 units left-forward.",Very large object moves quickly along a complex 3D path.
