ObjectName,"ObjectType (from static file, if available)",StartFrame (first frame where object is relevant),EndFrame (last frame where object is relevant),"StartPosition (x,y,z at StartFrame)","EndPosition (x,y,z at EndFrame)",AvgSpeed (avg world units per frame),VisibilityRatio (fraction of frames visible),SizeChange (grow/shrink/stable),RelativeSize (approx. size compared to average scene object),PathSummary (detailed 3D path narrative),MovementSummary (short overall description)
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo,Mesh,1,8,"[1.413,1.796,0.312]","[-14.492,1.266,10.944]",21.260017042895516,1.0,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.12 units right-forward. Frame 4→5: quickly rises 31.48 units, moves 11.81 units right-forward. Frame 5→6: quickly descends 30.34 units, moves 7.60 units left-backward. Frame 6→7: quickly rises 37.15 units, moves 22.59 units left-backward. Frame 7→8: quickly descends 38.51 units, moves 6.07 units right-backward. Lands back near the ground.",Very large object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Double-side blur quad,Mesh,1,8,"[0.809,3.153,-0.297]","[-13.717,2.272,9.961]",21.460636465904322,0.625,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Frame 3→4: quickly rises 0.56 units, moves 0.04 units left-backward. Frame 4→5: quickly rises 31.56 units, moves 11.28 units right-forward. Frame 5→6: quickly descends 31.35 units, moves 8.31 units left-backward. Frame 6→7: quickly rises 37.99 units, moves 21.50 units left-backward. Frame 7→8: quickly descends 38.77 units, moves 5.75 units right-backward.",Very large object moves quickly along a complex 3D path.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/Main Rotor -  Blur Quad,Mesh,1,8,"[0.809,3.153,-0.297]","[-13.717,2.272,9.961]",21.460636465904322,0.625,grow,huge,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Frame 3→4: quickly rises 0.56 units, moves 0.04 units left-backward. Frame 4→5: quickly rises 31.56 units, moves 11.28 units right-forward. Frame 5→6: quickly descends 31.35 units, moves 8.31 units left-backward. Frame 6→7: quickly rises 37.99 units, moves 21.50 units left-backward. Frame 7→8: quickly descends 38.77 units, moves 5.75 units right-backward.",Very large object moves quickly along a complex 3D path.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Double-side blur quad,Mesh,1,8,"[0.537,2.062,-2.237]","[-13.223,0.5,8.678]",21.53052567460779,0.625,grow,large,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.37 units left-backward. Frame 4→5: quickly rises 31.66 units, moves 8.36 units left-forward. Frame 5→6: quickly descends 32.10 units, moves 7.32 units left-backward. Frame 6→7: quickly rises 38.38 units, moves 21.53 units left-backward. Frame 7→8: quickly descends 39.19 units, moves 4.89 units right-forward. Lands back near the ground.",Large object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/Tail Rotor - Blur quad,Mesh,1,8,"[0.537,2.062,-2.237]","[-13.223,0.5,8.678]",21.53052567460779,0.625,grow,large,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.37 units left-backward. Frame 4→5: quickly rises 31.66 units, moves 8.36 units left-forward. Frame 5→6: quickly descends 32.10 units, moves 7.32 units left-backward. Frame 6→7: quickly rises 38.38 units, moves 21.53 units left-backward. Frame 7→8: quickly descends 39.19 units, moves 4.89 units right-forward. Lands back near the ground.",Large object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Collider Group/L_Skid_COL,Empty,1,8,"[0.068,0.923,0.0]","[-15.512,0.736,9.784]",21.478101428869458,1.0,grow,medium,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.13 units right-backward. Frame 4→5: quickly rises 32.19 units, moves 10.29 units right-forward. Frame 5→6: quickly descends 31.66 units, moves 7.13 units left-backward. Frame 6→7: quickly rises 38.39 units, moves 20.88 units left-backward. Frame 7→8: quickly descends 38.78 units, moves 3.62 units right-backward. Lands back near the ground.","Object takes off, flies along a 3D path, and lands again."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Cockpit_LDoor_Geo,Mesh,1,8,"[0.268,1.616,0.107]","[-15.098,1.317,9.936]",21.469868157200715,1.0,grow,medium,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.10 units right-backward. Frame 4→5: quickly rises 32.02 units, moves 10.81 units right-forward. Frame 5→6: quickly descends 31.53 units, moves 7.48 units left-backward. Frame 6→7: quickly rises 38.27 units, moves 21.04 units left-backward. Frame 7→8: quickly descends 38.74 units, moves 4.21 units right-backward. Lands back near the ground.",Object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,Mesh,1,8,"[0.809,3.024,-0.297]","[-13.786,2.163,9.974]",21.45177450013985,1.0,grow,medium,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Frame 3→4: quickly rises 0.56 units, moves 0.04 units left-backward. Frame 4→5: quickly rises 31.57 units, moves 11.23 units right-forward. Frame 5→6: quickly descends 31.33 units, moves 8.22 units left-backward. Frame 6→7: quickly rises 37.97 units, moves 21.53 units left-backward. Frame 7→8: quickly descends 38.77 units, moves 5.66 units right-backward.",Object moves quickly along a complex 3D path.
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Body_RDoorGlass_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,medium,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.01 units right-forward. Frame 4→5: quickly rises 31.85 units, moves 10.67 units right-forward. Frame 5→6: quickly descends 30.91 units, moves 7.10 units left-backward. Frame 6→7: quickly rises 37.66 units, moves 21.90 units left-backward. Frame 7→8: quickly descends 38.66 units, moves 4.65 units right-backward. Lands back near the ground.","Object takes off, flies along a 3D path, and lands again."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_LDoor_Geo/R22_Body_LDoorGlass_Geo,Mesh,1,8,"[0.81,0.89,0.0]","[-15.115,0.515,10.372]",21.32008018743839,1.0,grow,medium,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.01 units right-forward. Frame 4→5: quickly rises 31.85 units, moves 10.67 units right-forward. Frame 5→6: quickly descends 30.91 units, moves 7.10 units left-backward. Frame 6→7: quickly rises 37.66 units, moves 21.90 units left-backward. Frame 7→8: quickly descends 38.66 units, moves 4.65 units right-backward. Lands back near the ground.","Object takes off, flies along a 3D path, and lands again."
R22_Helicopter_V2/Graphics_Group/R22_Body_Gruop/R22_Body_RDoor_Geo/R22_Cockpit_RDoor_Geo,Mesh,1,8,"[1.339,1.617,0.107]","[-14.499,1.038,10.78]",21.260620600182808,1.0,grow,medium,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.10 units right-forward. Frame 4→5: quickly rises 31.52 units, moves 11.44 units right-forward. Frame 5→6: quickly descends 30.45 units, moves 7.46 units left-backward. Frame 6→7: quickly rises 37.23 units, moves 22.51 units left-backward. Frame 7→8: quickly descends 38.56 units, moves 5.77 units right-backward. Lands back near the ground.",Object descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Collider Group/R_Skid_COL,Empty,1,8,"[1.541,0.923,0.0]","[-14.69,0.352,10.944]",21.18562804890496,1.0,grow,medium,"Starts near the ground. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.13 units right-forward. Frame 4→5: quickly rises 31.50 units, moves 11.14 units right-forward. Frame 5→6: quickly descends 30.18 units, moves 7.10 units left-backward. Frame 6→7: quickly rises 36.96 units, moves 22.90 units left-backward. Frame 7→8: quickly descends 38.54 units, moves 5.70 units right-backward. Lands back near the ground.","Object takes off, flies along a 3D path, and lands again."
Canvas/Panel/Row - INFO/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,899.933,0.0]",86.62193945802291,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 540.07 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - INFO,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,933.267,0.0]",82.40896377066697,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 506.73 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Pedal/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1073.333,0.0]",80.10398621753336,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 366.67 units, moves 424.23 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Cyclic/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1140.0,0.0]",74.22677509373776,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 300.00 units, moves 424.23 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - INFO/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1006.667,0.0]",73.3693179182955,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 433.33 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_Handle01_Geo,Mesh,1,8,"[0.803,1.763,0.382]","[-14.894,1.432,10.51]",21.37031924494636,1.0,grow,small,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.08 units right-forward. Frame 4→5: quickly rises 31.77 units, moves 11.51 units right-forward. Frame 5→6: quickly descends 30.92 units, moves 7.60 units left-backward. Frame 6→7: quickly rises 37.73 units, moves 21.77 units left-backward. Frame 7→8: quickly descends 38.60 units, moves 5.22 units right-backward. Lands back near the ground.",Small descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Graphics_Group/R22_Cockpit_Gruop/R22_Cockpit_PannelButtons_Geo,Mesh,1,8,"[0.806,1.586,0.643]","[-15.153,1.408,10.689]",21.363124979705578,1.0,grow,small,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.13 units right-forward. Frame 4→5: quickly rises 31.81 units, moves 11.76 units right-forward. Frame 5→6: quickly descends 30.81 units, moves 7.55 units left-backward. Frame 6→7: quickly rises 37.67 units, moves 21.84 units left-backward. Frame 7→8: quickly descends 38.54 units, moves 5.35 units right-backward. Lands back near the ground.",Small descends along a 3D path and comes down near the ground.
Canvas/Panel/Row - Sticky Collective/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1206.667,0.0]",69.16637465885415,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 233.33 units, moves 424.23 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Pedal,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1073.333,0.0]",65.53344430136416,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 366.67 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Collective/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1273.333,0.0]",65.11355572037992,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 166.67 units, moves 424.23 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Sticky Throttle/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1340.0,0.0]",62.26524776785071,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 100.00 units, moves 424.23 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Raw Throttle/Text (TMP) - Content,Empty,1,8,"[0.0,1440.0,0.0]","[424.23,1406.667,0.0]",60.79107443027929,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 33.33 units, moves 424.23 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Cyclic,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1140.0,0.0]",58.20307427342262,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 300.00 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Pedal/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1073.333,0.0]",56.51722761698598,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 366.67 units, moves 148.56 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Sticky Collective,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1206.667,0.0]",51.59429326495523,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 233.33 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Cyclic/Text (TMP) - Title,Empty,1,8,"[0.0,1440.0,0.0]","[148.563,1140.0,0.0]",47.82428828940118,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 300.00 units, moves 148.56 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
Canvas/Panel/Row - Collective,Empty,1,8,"[0.0,1440.0,0.0]","[275.667,1273.333,0.0]",46.01911399203861,0.0,unknown,unknown,"Starts in the air. Frame 1→2: hovers with negligible movement. Frame 2→3: quickly descends 166.67 units, moves 275.67 units right. Frame 3→4: hovers with negligible movement. Frame 4→5: hovers with negligible movement. Frame 5→6: hovers with negligible movement. Frame 6→7: hovers with negligible movement. Frame 7→8: hovers with negligible movement.",Object moves quickly along a complex 3D path.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_LTailBlade_Geo,Mesh,1,8,"[0.542,2.033,-2.236]","[-13.227,0.524,8.696]",21.530183632352053,1.0,grow,tiny,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.86 units, moves 0.02 units forward. Takes off from near the ground. Frame 3→4: quickly rises 0.61 units, moves 0.38 units left-backward. Frame 4→5: quickly rises 31.60 units, moves 8.35 units left-forward. Frame 5→6: quickly descends 32.09 units, moves 7.34 units left-backward. Frame 6→7: quickly rises 38.41 units, moves 21.56 units left-backward. Frame 7→8: quickly descends 39.18 units, moves 4.89 units right-forward. Lands back near the ground.",Small descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_RTailBlade_Geo,Mesh,1,8,"[0.542,2.084,-2.236]","[-13.213,0.48,8.672]",21.528658986837236,1.0,grow,tiny,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.88 units, moves 0.02 units backward. Takes off from near the ground. Frame 3→4: quickly rises 0.53 units, moves 0.37 units left-backward. Frame 4→5: quickly rises 31.70 units, moves 8.37 units left-forward. Frame 5→6: quickly descends 32.10 units, moves 7.30 units left-backward. Frame 6→7: quickly rises 38.34 units, moves 21.53 units left-backward. Frame 7→8: quickly descends 39.19 units, moves 4.89 units right-forward. Lands back near the ground.",Small descends along a 3D path and comes down near the ground.
R22_Helicopter_V2/Rotors_Group/Back Rotor - Mast/R22_Mechanical_TailMast_Geo,Mesh,1,8,"[0.743,2.062,-2.237]","[-13.108,0.446,8.84]",21.48858265422319,1.0,grow,tiny,"Starts in the air. Frame 1→2: very slowly descends 0.00 units. Frame 2→3: quickly descends 0.87 units. Takes off from near the ground. Frame 3→4: quickly rises 0.56 units, moves 0.37 units left-backward. Frame 4→5: quickly rises 31.57 units, moves 8.52 units left-forward. Frame 5→6: quickly descends 31.89 units, moves 7.32 units left-backward. Frame 6→7: quickly rises 38.17 units, moves 21.82 units left-backward. Frame 7→8: quickly descends 39.15 units, moves 5.14 units right-forward. Lands back near the ground.",Small descends along a 3D path and comes down near the ground.
