ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description)"
zoneRANCH/cellRanch_PassageLab/Sector/Rocks/rockReefBoxy01,Mesh,4,8,"[134.65,14.548,-220.81]","[236.457,18.725,-205.837]",411.94763370117806,102.98690842529452,102.98690842529452,1.0,stable,medium,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Rocks/rockReefTall01,Mesh,4,8,"[87.05,12.25,-133.05]","[118.701,14.47,-180.061]",226.86553980717298,56.716384951793245,56.716384951793245,1.0,stable,huge,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Grotto/Sector/Rocks/rockReefFlat01,Mesh,4,8,"[317.793,0.825,-87.063]","[235.417,8.197,-124.403]",362.97498227839344,90.74374556959836,90.74374556959836,1.0,stable,medium,HORIZ_LOW,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand04b,Mesh,4,8,"[90.56,12.22,-94.93]","[118.867,14.4,-179.771]",357.86106644897814,89.46526661224453,89.46526661224453,1.0,stable,medium,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_PassageLab/Sector/Rocks/rockReefFlat01,Mesh,4,8,"[133.8,14.548,-218.65]","[235.71,18.111,-204.44]",411.83039555622895,102.95759888905724,102.95759888905724,1.0,stable,small,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Overgrowth/Sector/Grass/grassThinColony01,Mesh,4,8,"[-72.31,12.25,-122.32]","[-51.319,13.877,-225.85]",316.9472684690625,105.64908948968751,88.04090790807292,1.0,stable,medium,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_Intro/Sector/Cliffs/wallCapsule07 (2),Mesh,4,8,"[29.1,8.02,19.04]","[66.711,8.24,-4.851]",178.23201068270535,44.55800267067634,44.55800267067634,1.0,stable,huge,HORIZ_LOW,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag02/areaCragChunk03,Mesh,6,8,"[110.787,13.509,20.926]","[182.15,24.22,56.765]",161.14387622246153,80.57193811123076,80.57193811123076,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag02/colCapsule,Empty,6,8,"[111.993,-30.842,21.546]","[180.633,-14.429,56.998]",157.95797508198189,78.97898754099094,78.97898754099094,1.0,stable,huge,HORIZ_LOW,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag02/areaCragChunk01,Mesh,6,8,"[111.87,15.69,21.63]","[180.69,26.121,56.84]",156.00951587643618,78.00475793821809,78.00475793821809,1.0,shrink,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag02/areaCragChunk04,Mesh,6,8,"[111.191,12.839,22.679]","[180.615,23.636,55.428]",155.03243513536128,77.51621756768064,77.51621756768064,1.0,grow,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag02/areaCragChunk02,Mesh,6,8,"[113.421,14.529,21.064]","[179.644,25.109,58.388]",153.49922612182772,76.74961306091386,76.74961306091386,1.0,grow,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag02/areaCragChunk05,Mesh,6,8,"[113.426,13.532,22.943]","[178.393,24.24,56.67]",147.95787078759955,73.97893539379977,73.97893539379977,1.0,stable,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Grotto/Sector/Rocks/rockCrag04,Mesh,4,8,"[248.61,17.95,-153.4]","[235.0,9.449,-119.261]",150.88912072114417,37.72228018028604,37.72228018028604,1.0,stable,huge,HORIZ_MID,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_CliffCaves/Sector/Main Nav/cliffBase04,Mesh,6,8,"[116.77,9.473,27.0]","[163.82,7.345,73.97]",133.0325040582188,66.5162520291094,66.5162520291094,1.0,shrink,huge,HORIZ_LOW,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_PassageOvergrowth/Sector/Solid Filler/moundSand04b,Mesh,4,8,"[13.94,14.67,-104.15]","[15.16,16.54,-146.63]",170.15455092356476,42.53863773089119,42.53863773089119,1.0,stable,large,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand01,Mesh,4,8,"[144.39,12.24,-140.59]","[128.32,14.4,-179.72]",169.42573122167715,42.35643280541929,42.35643280541929,1.0,stable,large,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand01/Rocks,Mesh,4,8,"[144.39,12.24,-140.59]","[128.32,14.4,-179.72]",169.42573122167715,42.35643280541929,42.35643280541929,1.0,stable,large,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_CliffCaves/Sector/Mountains/mtnBluffReef01/mountaintop,Mesh,6,8,"[104.61,17.06,20.09]","[124.5,24.79,78.53]",124.42827009968433,62.21413504984216,62.21413504984216,1.0,grow,huge,HORIZ_HIGH,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Rocks/rockReefBoxy01 (2),Mesh,4,8,"[97.535,12.333,-137.324]","[73.65,12.25,-84.6]",231.5278053279995,57.88195133199987,57.88195133199987,1.0,stable,medium,HORIZ_MID,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_Intro/Sector/Main Nav/areaRamp01,Mesh,4,8,"[26.387,7.784,-17.482]","[55.16,9.95,-29.82]",125.52630506790199,31.381576266975497,31.381576266975497,1.0,stable,huge,HORIZ_LOW,long,medium,moderate,Overall: moves at a moderate speed over a long distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (2)/areaCragChunk03,Mesh,6,8,"[111.476,24.717,70.275]","[108.603,-0.128,17.132]",117.46840601625614,58.73420300812807,58.73420300812807,1.0,stable,huge,HORIZ_MID,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Grotto/Sector/Rocks/rockReefBoxy01,Mesh,4,8,"[343.32,0.93,-97.96]","[234.257,7.691,-121.863]",447.4246752069,111.856168801725,111.856168801725,1.0,stable,tiny,HORIZ_LOW,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Lab/Sector/Solid Filler/moundSand01,Mesh,4,5,"[235.37,15.17,-242.09]","[169.673,14.74,-324.473]",105.37190990961491,105.37190990961491,105.37190990961491,1.0,shrink,huge,HORIZ_HIGH,medium,fast,flat,Overall: moves quickly over a medium distance with almost no vertical change. Phases: moves across the scene in a high region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (2)/areaCragChunk01,Mesh,6,8,"[112.594,25.752,70.862]","[109.117,0.511,18.329]",116.77180651167473,58.38590325583736,58.38590325583736,1.0,stable,huge,HORIZ_MID,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (2)/colCapsule,Empty,6,8,"[112.385,-3.898,70.329]","[112.707,-19.361,14.667]",115.54161669286091,57.77080834643046,57.77080834643046,1.0,grow,huge,HORIZ_LOW,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (2)/areaCragChunk02,Mesh,6,8,"[113.241,23.336,69.506]","[110.644,-0.779,17.302]",115.12663028161643,57.563315140808214,57.563315140808214,1.0,stable,huge,HORIZ_LOW,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a low region.
zoneSEA/Sea/seaViewCube,Mesh,4,8,"[97.607,-15.75,-113.931]","[104.576,-15.75,-111.464]",125.88547253382792,7.392770116810066,31.47136813345698,1.0,stable,huge,HORIZ_LOW,long,medium,none,Overall: moves at a moderate speed over a long distance. Phases: moves across the scene in a low region.
zoneSEA/Sea/seaRender/Clouds 1Pass,Mesh,4,8,"[97.607,-7.1,-113.931]","[104.576,-7.1,-111.464]",125.88547253382792,7.392770116810066,31.47136813345698,1.0,stable,huge,HORIZ_LOW,long,medium,none,Overall: moves at a moderate speed over a long distance. Phases: moves across the scene in a low region.
zoneSEA/Sea/seaKillCube,Mesh,4,8,"[97.607,-29.4,-113.931]","[104.576,-29.4,-111.464]",125.88547253382792,7.392770116810066,31.47136813345698,1.0,stable,huge,HORIZ_LOW,long,medium,none,Overall: moves at a moderate speed over a long distance. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Lab/Sector/Solid Filler/moundSand03b,Mesh,4,5,"[239.37,15.09,-234.59]","[167.63,14.75,-306.84]",101.81751175510034,101.81751175510034,101.81751175510034,1.0,shrink,huge,HORIZ_HIGH,medium,fast,flat,Overall: moves quickly over a medium distance with almost no vertical change. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Ranch Features/landPlot/patchEmpty(Clone)/Dirt,Mesh,4,8,"[118.55,12.257,-103.75]","[109.05,14.22,-156.75]",215.52181769834812,53.88045442458703,53.88045442458703,1.0,stable,medium,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Ranch Features/landPlot/patchEmpty(Clone)/Dirt/rocks,Mesh,4,8,"[118.55,12.257,-103.75]","[109.05,14.22,-156.75]",215.52181769834812,53.88045442458703,53.88045442458703,1.0,stable,medium,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
SimplePlayer/FPSCamera/VacuumTransform/Vacuum/model_vac_v3_prefab(Clone)/Scaler/vac,Empty,4,8,"[96.923,14.151,-113.825]","[104.04,14.207,-110.778]",124.44155593884659,7.742030353854216,31.110388984711648,1.0,stable,huge,HORIZ_MID,long,medium,flat,Overall: moves at a moderate speed over a long distance with almost no vertical change. Phases: moves across the scene in a mid-height region.
SimplePlayer/FPSCamera/VacuumTransform/Vacuum/model_vac_v3_prefab(Clone)/Scaler/mesh_l_armextra,Empty,4,8,"[96.809,13.436,-113.733]","[104.015,13.508,-110.569]",123.97392561238851,7.870356789879354,30.993481403097128,1.0,shrink,huge,HORIZ_MID,long,medium,flat,Overall: moves at a moderate speed over a long distance with almost no vertical change. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand02,Mesh,4,8,"[117.16,12.22,-140.17]","[119.5,14.4,-191.32]",204.99953170678222,51.249882926695555,51.249882926695555,1.0,stable,medium,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_PassageLab/Sector/Deco/decoRock03,Mesh,4,8,"[129.292,14.548,-217.408]","[229.904,18.443,-206.27]",405.2061324906127,101.30153312265317,101.30153312265317,1.0,stable,tiny,HORIZ_HIGH,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Lab/Sector/Main Nav/cliffBase05,Mesh,4,5,"[228.34,15.01,-330.13]","[227.05,15.21,-234.69]",95.44892718097988,95.44892718097988,95.44892718097988,1.0,grow,huge,HORIZ_HIGH,medium,fast,flat,Overall: moves quickly over a medium distance with almost no vertical change. Phases: moves across the scene in a high region.
zoneREEF/cellReef_Intro/Sector/Grass/grassThinColony01,Mesh,4,8,"[-20.62,4.45,6.36]","[40.3,7.341,-7.77]",250.4160116605965,62.604002915149124,62.604002915149124,1.0,stable,small,HORIZ_LOW,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_PassageGrotto/Sector/Main Nav/cliffBase02,Mesh,4,8,"[163.83,12.48,-130.82]","[191.5,12.76,-130.8]",110.68569555276774,27.671423888191935,27.671423888191935,1.0,stable,huge,HORIZ_MID,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_Intro/Sector/Flora/bushBlob01,Mesh,4,8,"[19.32,7.6,12.52]","[-12.79,4.45,-0.41]",139.03435546655365,34.75858886663841,34.75858886663841,1.0,stable,large,HORIZ_LOW,long,medium,moderate,Overall: moves at a moderate speed over a long distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Home/Sector/Rocks/rockReefFlat01,Mesh,4,8,"[63.49,15.63,-158.77]","[119.18,14.776,-181.71]",240.9431141493776,60.2357785373444,60.2357785373444,1.0,stable,small,HORIZ_HIGH,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: moves across the scene in a high region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (3)/areaCragChunk03,Mesh,6,8,"[147.768,7.918,48.649]","[138.433,-3.725,0.634]",100.56126289978661,50.280631449893306,50.280631449893306,1.0,stable,huge,HORIZ_LOW,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (3)/colCapsule,Empty,6,8,"[146.858,-15.46,48.618]","[137.331,-18.907,0.613]",98.12493185730119,49.062465928650596,49.062465928650596,1.0,stable,huge,HORIZ_LOW,medium,fast,moderate,Overall: moves quickly over a medium distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (3)/areaCragChunk02,Mesh,6,8,"[146.024,6.79,49.462]","[138.84,-4.594,2.457]",97.78906558506426,48.89453279253213,48.89453279253213,1.0,stable,huge,HORIZ_LOW,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_CliffCaves/Sector/Solid Filler/areaCrag01 (3)/areaCragChunk01,Mesh,6,8,"[146.636,8.764,48.09]","[137.694,-3.191,1.667]",97.52899708291889,48.764498541459446,48.764498541459446,1.0,stable,huge,HORIZ_LOW,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_Intro/Sector/Grass/grassThinColony01 (3),Mesh,4,8,"[1.4,4.45,-3.36]","[58.135,7.341,-8.818]",228.28080497492556,57.07020124373139,57.07020124373139,1.0,stable,small,HORIZ_LOW,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_Intro/Sector/Rocks/rockMoba13 (1),Mesh,4,8,"[33.62,6.12,9.26]","[53.36,12.1,-43.32]",225.92332858737717,56.48083214684429,56.48083214684429,1.0,stable,small,HORIZ_LOW,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_Intro/Sector/Rocks/rockReefTall01 (3),Mesh,4,8,"[20.97,7.25,-17.46]","[-1.37,-4.072,-18.28]",100.23457958209832,25.05864489552458,25.05864489552458,1.0,stable,huge,HORIZ_LOW,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand03b,Mesh,4,8,"[94.06,14.59,-149.91]","[150.01,15.58,-143.5]",225.29875987230818,56.324689968077045,56.324689968077045,1.0,stable,small,HORIZ_HIGH,long,fast,flat,Overall: moves quickly over a long distance with almost no vertical change. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Entrance/Sector/Main Nav/wallCapsule02,Mesh,4,8,"[72.44,12.3,-29.12]","[60.45,10.19,-50.16]",97.23322888807095,24.30830722201774,24.30830722201774,1.0,stable,huge,HORIZ_LOW,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand01 (1)/Rocks,Mesh,4,8,"[128.13,12.25,-139.93]","[145.93,14.22,-156.25]",96.91755671703659,24.229389179259147,24.229389179259147,1.0,stable,huge,HORIZ_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand01 (1),Mesh,4,8,"[128.13,12.25,-139.93]","[145.93,14.22,-156.25]",96.91755671703659,24.229389179259147,24.229389179259147,1.0,stable,huge,HORIZ_MID,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Lab/Sector/Solid Filler/moundSand01/Rocks,Mesh,4,5,"[235.37,15.17,-242.09]","[169.673,14.74,-324.473]",105.37190990961491,105.37190990961491,105.37190990961491,1.0,shrink,large,HORIZ_HIGH,medium,fast,flat,Overall: moves quickly over a medium distance with almost no vertical change. Phases: moves across the scene in a high region.
zoneRANCH/cellRanch_Home/Sector/Constructions/techGuidePost (1),Mesh,4,8,"[86.344,14.518,-179.176]","[45.213,12.145,-103.115]",346.0096186177488,86.5024046544372,86.5024046544372,1.0,stable,tiny,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_CliffCaves/Sector/Grass/grassThinColony02 (8),Mesh,6,8,"[115.53,9.462,56.7]","[173.39,14.924,53.084]",116.45923750394381,58.229618751971906,58.229618751971906,1.0,shrink,large,HORIZ_MID,medium,fast,large,Overall: moves quickly over a medium distance with large vertical variation. Phases: moves across the scene in a mid-height region.
SimplePlayer/FPSCamera/vac shape/Capsule1,Empty,4,8,"[98.246,13.835,-114.669]","[104.618,13.763,-112.197]",128.22144360734129,6.835082442809302,32.05536090183532,1.0,stable,large,HORIZ_MID,long,medium,flat,Overall: moves at a moderate speed over a long distance with almost no vertical change. Phases: moves across the scene in a mid-height region.
zoneREEF/cellReef_Intro/Sector/Grass/grassThinColony01 (1),Mesh,4,8,"[-8.2,4.45,18.18]","[39.93,7.341,-4.47]",213.0869223955332,53.2717305988833,53.2717305988833,1.0,stable,small,HORIZ_LOW,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a low region.
zoneREEF/cellReef_Intro/Sector/Rocks/rockReefBoxy01 (2),Mesh,4,8,"[39.076,7.341,-6.07]","[0.166,-4.24,-17.418]",168.61244390613643,42.15311097653411,42.15311097653411,1.0,stable,medium,HORIZ_LOW,long,fast,large,Overall: moves quickly over a long distance with large vertical variation. Phases: moves across the scene in a low region.
zoneRANCH/cellRanch_Home/Sector/Grass/grassThinColony01 (1),Mesh,4,8,"[78.2,14.65,-162.16]","[125.04,12.25,-93.566]",332.3824889731708,83.0956222432927,83.0956222432927,1.0,stable,tiny,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
SimplePlayer/FPSCamera/VacuumTransform/Vacuum/model_vac_v3_prefab(Clone)/Scaler/arms,Empty,4,8,"[96.809,13.436,-113.733]","[104.015,13.508,-110.569]",123.97392561238851,7.870356789879354,30.993481403097128,1.0,shrink,large,HORIZ_MID,long,medium,flat,Overall: moves at a moderate speed over a long distance with almost no vertical change. Phases: moves across the scene in a mid-height region.
zoneRANCH/cellRanch_Home/Sector/Solid FIller/moundSand02/Rocks,Mesh,4,8,"[117.16,12.22,-140.17]","[119.5,14.4,-191.32]",204.99953170678222,51.249882926695555,51.249882926695555,1.0,stable,small,HORIZ_MID,long,fast,moderate,Overall: moves quickly over a long distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.
