ObjectName (Name of the Object),ObjectCategory (Potential Object Type),StartFrame (Frame where the object first appears),EndFrame (Frame where the object last appears),"StartPosition [x,y,z] at first valid position","EndPosition [x,y,z] at last valid position","PathLength (Sum of all displacements, added stepwise with abs value)",NetDisplacement (Vector value of end position - start position),AvgSpeed (Mean step speed over valid steps),VisibilityRatio (Percentage of frames where the object is visible),"SizeChange (Change in perceived size of the object, can be due to camera movement)",RelativeSize (Compared to other objects in the game),"MotionPhases (Symbolic phase sequence, e.g. STILL_LOW;ASCEND_MID)",PhaseTimeline (Motion phases with approximate relative durations),PathTrace (Downsampled key positions along the trajectory),MaxSpeedEvent (Notable peak speed moment),LargestVerticalChangeEvent (Notable vertical excursion),DistBand (Categorical range of total distance covered: none/short/medium/long),SpeedBand (Categorical range of average movement speed: none/slow/medium/fast),VertBand (Categorical range of vertical displacement: none/flat/moderate/large),"PathSummary (Short, deterministic natural-language description from core stats)",SemanticRole (Heuristic high-level role: Player/Enemy/Projectile/etc.),InteractionSummary (Close-approach / touch events with other objects),"NarrativeSummary (Compact narrative description using motion, phases & interactions)"
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1),Empty,14,16,"[-16.37,-11.37,119.0]","[16.807,20.921,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_LOW;HORIZ_MID,HORIZ_LOW:0.50;HORIZ_MID:0.50,"f14:[-16.370,-11.370,119.000];f14:[-16.370,-11.370,87.000];f14:[-16.370,-11.370,55.000];f14:[-16.370,-11.370,23.000];f15:[3.494,-17.885,111.000];f15:[7.862,-16.774,79.000];f15:[11.932,-14.838,47.000];f15:[19.148,-8.011,15.000];f16:[22.661,9.734,103.000];f16:[21.401,13.826,71.000];f16:[19.424,17.594,39.000];f16:[16.807,20.921,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -18.028 (f15) to 20.921 (f16).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a low region; moves across the scene in a mid-height region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: HORIZ_LOW:0.50;HORIZ_MID:0.50. Key positions along its path: f14:[-16.370,-11.370,119.000];f14:[-16.370,-11.370,87.000];f14:[-16.370,-11.370,55.000];f14:[-16.370,-11.370,23.000];f15:[3.494,-17.885,111.000];f15:[7.862,-16.774,79.000];f15:[11.932,-14.838,47.000];f15:[19.148,-8.011,15.000];f16:[22.661,9.734,103.000];f16:[21.401,13.826,71.000];f16:[19.424,17.594,39.000];f16:[16.807,20.921,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -18.028 (f15) to 20.921 (f16)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BakedBloom,Mesh,14,16,"[-16.37,-11.37,119.0]","[16.807,20.921,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_LOW;HORIZ_MID,HORIZ_LOW:0.50;HORIZ_MID:0.50,"f14:[-16.370,-11.370,119.000];f14:[-16.370,-11.370,87.000];f14:[-16.370,-11.370,55.000];f14:[-16.370,-11.370,23.000];f15:[3.494,-17.885,111.000];f15:[7.862,-16.774,79.000];f15:[11.932,-14.838,47.000];f15:[19.148,-8.011,15.000];f16:[22.661,9.734,103.000];f16:[21.401,13.826,71.000];f16:[19.424,17.594,39.000];f16:[16.807,20.921,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -18.028 (f15) to 20.921 (f16).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a low region; moves across the scene in a mid-height region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: HORIZ_LOW:0.50;HORIZ_MID:0.50. Key positions along its path: f14:[-16.370,-11.370,119.000];f14:[-16.370,-11.370,87.000];f14:[-16.370,-11.370,55.000];f14:[-16.370,-11.370,23.000];f15:[3.494,-17.885,111.000];f15:[7.862,-16.774,79.000];f15:[11.932,-14.838,47.000];f15:[19.148,-8.011,15.000];f16:[22.661,9.734,103.000];f16:[21.401,13.826,71.000];f16:[19.424,17.594,39.000];f16:[16.807,20.921,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1); touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (1)/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -18.028 (f15) to 20.921 (f16)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional,Empty,14,16,"[16.37,21.37,119.0]","[-16.807,-10.921,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[16.370,21.370,119.000];f14:[16.370,21.370,87.000];f14:[16.370,21.370,55.000];f14:[16.370,21.370,23.000];f15:[-3.494,27.885,111.000];f15:[-7.862,26.774,79.000];f15:[-11.932,24.838,47.000];f15:[-19.148,18.011,15.000];f16:[-22.661,0.266,103.000];f16:[-21.401,-3.826,71.000];f16:[-19.424,-7.594,39.000];f16:[-16.807,-10.921,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -10.921 (f16) to 28.028 (f15).,medium,medium,moderate,Overall: moves at a moderate speed over a medium distance with moderate vertical variation. Phases: moves across the scene in a high region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with some vertical variation. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[16.370,21.370,119.000];f14:[16.370,21.370,87.000];f14:[16.370,21.370,55.000];f14:[16.370,21.370,23.000];f15:[-3.494,27.885,111.000];f15:[-7.862,26.774,79.000];f15:[-11.932,24.838,47.000];f15:[-19.148,18.011,15.000];f16:[-22.661,0.266,103.000];f16:[-21.401,-3.826,71.000];f16:[-19.424,-7.594,39.000];f16:[-16.807,-10.921,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -10.921 (f16) to 28.028 (f15)."
BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2),Empty,14,16,"[16.37,-11.37,119.0]","[-15.921,21.807,7.0]",226.6076282652748,121.1916746728091,113.3038141326374,0.0,unknown,unknown,HORIZ_LOW;HORIZ_HIGH,HORIZ_LOW:0.50;HORIZ_HIGH:0.50,"f14:[16.370,-11.370,119.000];f14:[16.370,-11.370,87.000];f14:[16.370,-11.370,55.000];f14:[16.370,-11.370,23.000];f15:[22.885,8.494,111.000];f15:[21.774,12.862,79.000];f15:[19.838,16.932,47.000];f15:[13.011,24.148,15.000];f16:[-4.734,27.661,103.000];f16:[-8.826,26.401,71.000];f16:[-12.594,24.424,39.000];f16:[-15.921,21.807,7.000]",Peak speed ~113.753 between frames 14-15.,Vertical span from -11.370 (f14) to 28.003 (f16).,medium,medium,large,Overall: moves at a moderate speed over a medium distance with large vertical variation. Phases: moves across the scene in a low region; moves across the scene in a high region.,Enemy,touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight.,"As a Enemy, this object moves steadily over a medium distance with strong changes in height. Its motion phases over time: HORIZ_LOW:0.50;HORIZ_HIGH:0.50. Key positions along its path: f14:[16.370,-11.370,119.000];f14:[16.370,-11.370,87.000];f14:[16.370,-11.370,55.000];f14:[16.370,-11.370,23.000];f15:[22.885,8.494,111.000];f15:[21.774,12.862,79.000];f15:[19.838,16.932,47.000];f15:[13.011,24.148,15.000];f16:[-4.734,27.661,103.000];f16:[-8.826,26.401,71.000];f16:[-12.594,24.424,39.000];f16:[-15.921,21.807,7.000]. It touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BakedBloom; touches BigTrackLaneRing(Clone)/NeonTubeBothSidesDirectional (2)/BoxLight. Notable moments: Peak speed ~113.753 between frames 14-15. Vertical span from -11.370 (f14) to 28.003 (f16)."
BigTrackLaneRing(Clone),Empty,14,16,"[0.0,5.0,119.0]","[0.0,5.0,7.0]",224.0,112.0,112.0,0.0,unknown,unknown,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[0.000,5.000,119.000];f14:[0.000,5.000,87.000];f14:[0.000,5.000,55.000];f14:[0.000,5.000,23.000];f15:[0.000,5.000,111.000];f15:[0.000,5.000,79.000];f15:[0.000,5.000,47.000];f15:[0.000,5.000,15.000];f16:[0.000,5.000,103.000];f16:[0.000,5.000,71.000];f16:[0.000,5.000,39.000];f16:[0.000,5.000,7.000]",Peak speed ~112.000 between frames 14-15.,,medium,medium,none,Overall: moves at a moderate speed over a medium distance. Phases: moves across the scene in a high region.,Unknown,touches BigTrackLaneRing(Clone)/Ring.,"It moves steadily over a medium distance. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[0.000,5.000,119.000];f14:[0.000,5.000,87.000];f14:[0.000,5.000,55.000];f14:[0.000,5.000,23.000];f15:[0.000,5.000,111.000];f15:[0.000,5.000,79.000];f15:[0.000,5.000,47.000];f15:[0.000,5.000,15.000];f16:[0.000,5.000,103.000];f16:[0.000,5.000,71.000];f16:[0.000,5.000,39.000];f16:[0.000,5.000,7.000]. It touches BigTrackLaneRing(Clone)/Ring. Notable moments: Peak speed ~112.000 between frames 14-15."
SmallTrackLaneRing(Clone),Empty,14,16,"[0.0,1.4,115.5]","[0.0,1.4,14.0]",203.0,101.5,101.5,0.0,unknown,unknown,HORIZ_HIGH,HORIZ_HIGH:1.00,"f14:[0.000,1.400,115.500];f14:[0.000,1.400,87.500];f14:[0.000,1.400,59.500];f14:[0.000,1.400,31.500];f15:[0.000,1.400,108.500];f15:[0.000,1.400,80.500];f15:[0.000,1.400,52.500];f15:[0.000,1.400,24.500];f16:[0.000,1.400,101.500];f16:[0.000,1.400,73.500];f16:[0.000,1.400,45.500];f16:[0.000,1.400,14.000]",Peak speed ~101.500 between frames 14-15.,,medium,medium,none,Overall: moves at a moderate speed over a medium distance. Phases: moves across the scene in a high region.,Unknown,touches SmallTrackLaneRing(Clone)/Ring.,"It moves steadily over a medium distance. Its motion phases over time: HORIZ_HIGH:1.00. Key positions along its path: f14:[0.000,1.400,115.500];f14:[0.000,1.400,87.500];f14:[0.000,1.400,59.500];f14:[0.000,1.400,31.500];f15:[0.000,1.400,108.500];f15:[0.000,1.400,80.500];f15:[0.000,1.400,52.500];f15:[0.000,1.400,24.500];f16:[0.000,1.400,101.500];f16:[0.000,1.400,73.500];f16:[0.000,1.400,45.500];f16:[0.000,1.400,14.000]. It touches SmallTrackLaneRing(Clone)/Ring. Notable moments: Peak speed ~101.500 between frames 14-15."
BeatEffect(Clone)/SpriteV,Empty,14,16,"[-0.3,0.129,15.147]","[17.0,0.02,7.779]",38.730061967417505,18.803970458389898,19.365030983708753,0.9722222222222222,stable,medium,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.300,0.129,15.147];f14:[17.000,0.020,7.779];f14:[17.000,0.020,7.779];f14:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f16:[17.000,0.020,7.779];f16:[17.000,0.020,7.779];f16:[17.000,0.020,7.779];f16:[17.000,0.020,7.779]",Peak speed ~19.365 between frames 14-15.,Vertical span from 0.020 (f14) to 0.129 (f14).,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,DynamicObject,touches BeatEffect(Clone); touches BeatEffect(Clone)/Light.,"As a DynamicObject, this object moves steadily over a medium distance with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.300,0.129,15.147];f14:[17.000,0.020,7.779];f14:[17.000,0.020,7.779];f14:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f15:[17.000,0.020,7.779];f16:[17.000,0.020,7.779];f16:[17.000,0.020,7.779];f16:[17.000,0.020,7.779];f16:[17.000,0.020,7.779]. It touches BeatEffect(Clone); touches BeatEffect(Clone)/Light. Notable moments: Peak speed ~19.365 between frames 14-15. Vertical span from 0.020 (f14) to 0.129 (f14)."
FlyingSpriteEffect(Clone),Empty,14,16,"[0.0,0.59,2.327]","[0.0,0.59,2.327]",19.715494816421682,0.0,9.857747408210841,1.0,stable,large,HORIZ_MID,HORIZ_MID:1.00,"f14:[0.000,0.590,2.327];f14:[0.000,0.590,2.327];f14:[0.000,0.590,2.327];f14:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f16:[0.000,0.590,2.327];f16:[0.000,0.590,2.327];f16:[0.000,0.590,2.327];f16:[0.000,0.590,2.327]",Peak speed ~11.864 between frames 15-16.,Vertical span from 0.590 (f14) to 1.300 (f16).,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,DynamicObject,moves close to NoteCutSoundEffect(Clone).,"As a DynamicObject, this object moves steadily over a medium distance with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[0.000,0.590,2.327];f14:[0.000,0.590,2.327];f14:[0.000,0.590,2.327];f14:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f15:[0.000,0.590,2.327];f16:[0.000,0.590,2.327];f16:[0.000,0.590,2.327];f16:[0.000,0.590,2.327];f16:[0.000,0.590,2.327]. It moves close to NoteCutSoundEffect(Clone). Notable moments: Peak speed ~11.864 between frames 15-16. Vertical span from 0.590 (f14) to 1.300 (f16)."
BeatEffect(Clone),Empty,14,16,"[-0.3,0.1,15.147]","[17.0,0.02,7.75]",38.75194389962908,18.815206855094633,19.37597194981454,0.0,unknown,unknown,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.300,0.100,15.147];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750]",Peak speed ~19.376 between frames 14-15.,Vertical span from 0.020 (f14) to 0.100 (f14).,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,Unknown,touches BeatEffect(Clone)/Light; touches BeatEffect(Clone)/SpriteV.,"It moves steadily over a medium distance with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.300,0.100,15.147];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750]. It touches BeatEffect(Clone)/Light; touches BeatEffect(Clone)/SpriteV. Notable moments: Peak speed ~19.376 between frames 14-15. Vertical span from 0.020 (f14) to 0.100 (f14)."
BeatEffect(Clone)/Light,Empty,14,16,"[-0.3,0.1,15.147]","[17.0,0.02,7.75]",38.75194389962908,18.815206855094633,19.37597194981454,0.0,unknown,unknown,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.300,0.100,15.147];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750]",Peak speed ~19.376 between frames 14-15.,Vertical span from 0.020 (f14) to 0.100 (f14).,medium,medium,flat,Overall: moves at a moderate speed over a medium distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,Unknown,touches BeatEffect(Clone); touches BeatEffect(Clone)/SpriteV.,"It moves steadily over a medium distance with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.300,0.100,15.147];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f14:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f15:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750];f16:[17.000,0.020,7.750]. It touches BeatEffect(Clone); touches BeatEffect(Clone)/SpriteV. Notable moments: Peak speed ~19.376 between frames 14-15. Vertical span from 0.020 (f14) to 0.100 (f14)."
NoteDebrisHD(Clone)/NoteDebrisMesh,Mesh,14,16,"[0.0,1.0,0.0]","[0.0,1.0,0.0]",7.376535813226935,0.0,3.6882679066134676,1.0,stable,medium,HORIZ_HIGH;HORIZ_LOW,HORIZ_HIGH:0.50;HORIZ_LOW:0.50,"f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f15:[-3.219,-2.459,-1.735];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000]",Peak speed ~5.978 between frames 15-16.,Vertical span from -2.459 (f15) to 1.014 (f15).,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: moves across the scene in a high region; moves across the scene in a low region.,DynamicObject,moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone).,"As a DynamicObject, this object shifts short across the scene with some vertical variation. Its motion phases over time: HORIZ_HIGH:0.50;HORIZ_LOW:0.50. Key positions along its path: f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f15:[-3.219,-2.459,-1.735];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000]. It moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone). Notable moments: Peak speed ~5.978 between frames 15-16. Vertical span from -2.459 (f15) to 1.014 (f15)."
NormalGameNote(Clone)/NoteCube,Mesh,14,16,"[-0.3,0.669,4.536]","[0.0,1.0,0.0]",3.6333576757594344,4.557944383162217,1.8166788378797172,1.0,stable,medium,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.300,0.669,4.536];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f15:[-0.900,0.420,11.730];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000]",Peak speed ~1.817 between frames 14-15.,Vertical span from 0.250 (f14) to 1.000 (f14).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,DynamicObject,moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone).,"As a DynamicObject, this object shifts short across the scene with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.300,0.669,4.536];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f15:[-0.900,0.420,11.730];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000]. It moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone). Notable moments: Peak speed ~1.817 between frames 14-15. Vertical span from 0.250 (f14) to 1.000 (f14)."
NormalGameNote(Clone)/NoteCube/NoteArrow,Mesh,14,16,"[-0.288,0.781,4.285]","[0.0,1.108,-0.254]",3.5824131531692434,4.55986776124045,1.7912065765846217,1.0,stable,tiny,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.288,0.781,4.285];f14:[0.000,1.108,-0.254];f14:[0.000,1.108,-0.254];f14:[0.000,1.108,-0.254];f15:[-0.777,0.395,11.485];f15:[0.000,1.108,-0.254];f15:[0.000,1.108,-0.254];f15:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254]",Peak speed ~1.791 between frames 14-15.,Vertical span from 0.358 (f14) to 1.108 (f14).,short,slow,moderate,Overall: moves slowly over a short distance with moderate vertical variation. Phases: moves across the scene in a mid-height region.,Projectile,moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone).,"As a Projectile, this object shifts short across the scene with some vertical variation. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.288,0.781,4.285];f14:[0.000,1.108,-0.254];f14:[0.000,1.108,-0.254];f14:[0.000,1.108,-0.254];f15:[-0.777,0.395,11.485];f15:[0.000,1.108,-0.254];f15:[0.000,1.108,-0.254];f15:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254];f16:[0.000,1.108,-0.254]. It moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone). Notable moments: Peak speed ~1.791 between frames 14-15. Vertical span from 0.358 (f14) to 1.108 (f14)."
NormalGameNote(Clone)/NoteCube/BigCuttable,Empty,14,16,"[-0.3,0.669,4.536]","[0.0,1.0,0.0]",3.6333576757594344,4.557944383162217,1.8166788378797172,0.013333333333333334,unknown,large,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.300,0.669,4.536];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f15:[-0.900,0.420,11.730];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000]",Peak speed ~1.817 between frames 14-15.,Vertical span from 0.250 (f14) to 1.000 (f14).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,Unknown,moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone).,"It shifts short across the scene with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.300,0.669,4.536];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f14:[0.000,1.000,0.000];f15:[-0.900,0.420,11.730];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f15:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000];f16:[0.000,1.000,0.000]. It moves close to BeatLine(Clone)/Light/BoxLight; moves close to BombNote(Clone)/Mesh; moves close to BurnPS(Clone). Notable moments: Peak speed ~1.817 between frames 14-15. Vertical span from 0.250 (f14) to 1.000 (f14)."
NormalGameNote(Clone)/NoteCube/NoteCircleGlow,Mesh,14,16,"[-0.288,0.673,4.283]","[0.0,1.0,-0.253]",3.5692329708216017,4.556881499446744,1.7846164854108009,0.06666666666666667,grow,small,HORIZ_MID,HORIZ_MID:1.00,"f14:[-0.288,0.673,4.283];f14:[0.000,1.000,-0.253];f14:[0.000,1.000,-0.253];f14:[0.000,1.000,-0.253];f15:[-0.879,0.430,11.478];f15:[0.000,1.000,-0.253];f15:[0.000,1.000,-0.253];f15:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253]",Peak speed ~1.785 between frames 14-15.,Vertical span from 0.250 (f14) to 1.000 (f14).,short,slow,flat,Overall: moves slowly over a short distance with almost no vertical change. Phases: moves across the scene in a mid-height region.,Unknown,moves close to BombNote(Clone)/Mesh; touches BurstSliderHeadNote(Clone)/NoteCube; touches BurstSliderHeadNote(Clone)/NoteCube/NoteArrow.,"It shifts short across the scene with almost no vertical change. Its motion phases over time: HORIZ_MID:1.00. Key positions along its path: f14:[-0.288,0.673,4.283];f14:[0.000,1.000,-0.253];f14:[0.000,1.000,-0.253];f14:[0.000,1.000,-0.253];f15:[-0.879,0.430,11.478];f15:[0.000,1.000,-0.253];f15:[0.000,1.000,-0.253];f15:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253];f16:[0.000,1.000,-0.253]. It moves close to BombNote(Clone)/Mesh; touches BurstSliderHeadNote(Clone)/NoteCube; touches BurstSliderHeadNote(Clone)/NoteCube/NoteArrow. Notable moments: Peak speed ~1.785 between frames 14-15. Vertical span from 0.250 (f14) to 1.000 (f14)."
